"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","15159","","","","0"
"2015","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","15290","","","","0"
"2016","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","14798","","","","0"
"2017","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","14393","","","","0"
"2018","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","14225","","","","0"
"2019","Ontario [35]","2016A000235","Total impaired driving [910]","Actual incidents","Number","223","units","0","v68755432","1.149.1","15182","","","","0"
"1998","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","190.21","","","","2"
"1999","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","194.56","","","","2"
"2000","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","195.48","","","","2"
"2001","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","180.55","","","","2"
"2002","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","170.51","","","","2"
"2003","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","155.00","","","","2"
"2004","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","147.28","","","","2"
"2005","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","142.86","","","","2"
"2006","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","140.09","","","","2"
"2007","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","140.25","","","","2"
"2008","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","145.56","","","","2"
"2009","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","140.08","","","","2"
"2010","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","131.47","","","","2"
"2011","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","129.93","","","","2"
"2012","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","128.41","","","","2"
"2013","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","117.09","","","","2"
"2014","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","111.32","","","","2"
"2015","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","111.55","","","","2"
"2016","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","106.65","","","","2"
"2017","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","102.28","","","","2"
"2018","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","99.35","","","","2"
"2019","Ontario [35]","2016A000235","Total impaired driving [910]","Rate per 100,000 population","Rate","257","units","0","v68755433","1.149.2","104.23","","","","2"
"1998","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","0.00","","","","2"
"1999","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","2.29","","","","2"
"2000","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","0.47","","","","2"
"2001","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","-7.63","","","","2"
"2002","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","-5.56","","","","2"
"2003","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","-9.10","","","","2"
"2004","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","-4.98","","","","2"
"2005","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","-3.00","","","","2"
"2006","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","-1.94","","","","2"
"2007","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","0.12","","","","2"
"2008","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","3.79","","","","2"
"2009","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","-3.77","","","","2"
"2010","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","-6.14","","","","2"
"2011","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","-1.18","","","","2"
"2012","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","-1.17","","","","2"
"2013","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","-8.81","","","","2"
"2014","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","-4.93","","","","2"
"2015","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","0.21","","","","2"
"2016","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","-4.39","","","","2"
"2017","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","-4.10","","","","2"
"2018","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","-2.86","","","","2"
"2019","Ontario [35]","2016A000235","Total impaired driving [910]","Percentage change in rate","Percent","239","units","0","v68755434","1.149.3","4.91","","","","2"
"2011","Ontario [35]","2016A000235","Total impaired driving [910]","Unfounded incidents","Number","223","units","0","v1000179604","1.149.15","","..","","","0"
"2012","Ontario [35]","2016A000235","Total impaired driving [910]","Unfounded incidents","Number","223","units","0","v1000179604","1.149.15","","..","","","0"
"2013","Ontario [35]","2016A000235","Total impaired driving [910]","Unfounded incidents","Number","223","units","0","v1000179604","1.149.15","","..","","","0"
"2014","Ontario [35]","2016A000235","Total impaired driving [910]","Unfounded incidents","Number","223","units","0","v1000179604","1.149.15","","..","","","0"
"2015","Ontario [35]","2016A000235","Total impaired driving [910]","Unfounded incidents","Number","223","units","0","v1000179604","1.149.15","","..","","","0"
"2016","Ontario [35]","2016A000235","Total impaired driving [910]","Unfounded incidents","Number","223","units","0","v1000179604","1.149.15","","..","","","0"
"2017","Ontario [35]","2016A000235","Total impaired driving [910]","Unfounded incidents","Number","223","units","0","v1000179604","1.149.15","97","","","","0"
"2018","Ontario [35]","2016A000235","Total impaired driving [910]","Unfounded incidents","Number","223","units","0","v1000179604","1.149.15","112","","","","0"
"2019","Ontario [35]","2016A000235","Total impaired driving [910]","Unfounded incidents","Number","223","units","0","v1000179604","1.149.15","102","","","","0"
"2011","Ontario [35]","2016A000235","Total impaired driving [910]","Percent unfounded","Percent","239","units","0","v1000179605","1.149.16","","..","","","2"
"2012","Ontario [35]","2016A000235","Total impaired driving [910]","Percent unfounded","Percent","239","units","0","v1000179605","1.149.16","","..","","","2"
"2013","Ontario [35]","2016A000235","Total impaired driving [910]","Percent unfounded","Percent","239","units","0","v1000179605","1.149.16","","..","","","2"
"2014","Ontario [35]","2016A000235","Total impaired driving [910]","Percent unfounded","Percent","239","units","0","v1000179605","1.149.16","","..","","","2"
"2015","Ontario [35]","2016A000235","Total impaired driving [910]","Percent unfounded","Percent","239","units","0","v1000179605","1.149.16","","..","","","2"
"2016","Ontario [35]","2016A000235","Total impaired driving [910]","Percent unfounded","Percent","239","units","0","v1000179605","1.149.16","","..","","","2"
"2017","Ontario [35]","2016A000235","Total impaired driving [910]","Percent unfounded","Percent","239","units","0","v1000179605","1.149.16","0.67","","","","2"
"2018","Ontario [35]","2016A000235","Total impaired driving [910]","Percent unfounded","Percent","239","units","0","v1000179605","1.149.16","0.78","","","","2"
"2019","Ontario [35]","2016A000235","Total impaired driving [910]","Percent unfounded","Percent","239","units","0","v1000179605","1.149.16","0.67","","","","2"
"1998","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","21494","","","","0"
"1999","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","22314","","","","0"
"2000","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","22784","","","","0"
"2001","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","21044","","","","0"
"2002","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","20427","","","","0"
"2003","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","18639","","","","0"
"2004","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","18024","","","","0"
"2005","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","17648","","","","0"
"2006","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","17309","","","","0"
"2007","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","17472","","","","0"
"2008","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","18370","","","","0"
"2009","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","17859","","","","0"
"2010","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","16943","","","","0"
"2011","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","16831","","","","0"
"2012","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","16712","","","","0"
"2013","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","15339","","","","0"
"2014","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","14743","","","","0"
"2015","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","14845","","","","0"
"2016","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","14451","","","","0"
"2017","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","14179","","","","0"
"2018","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","13952","","","","0"
"2019","Ontario [35]","2016A000235","Total impaired driving [910]","Total cleared","Number","223","units","0","v68755435","1.149.4","14925","","","","0"
"1998","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","20927","","","","0"
"1999","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","21774","","","","0"
"2000","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","22116","","","","0"
"2001","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","20172","","","","0"
"2002","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","19595","","","","0"
"2003","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","17829","","","","0"
"2004","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","17181","","","","0"
"2005","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","16819","","","","0"
"2006","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","16659","","","","0"
"2007","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","16899","","","","0"
"2008","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","17753","","","","0"
"2009","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","17289","","","","0"
"2010","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","16342","","","","0"
"2011","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","16268","","","","0"
"2012","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","16242","","","","0"
"2013","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","14836","","","","0"
"2014","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","14277","","","","0"
"2015","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","14347","","","","0"
"2016","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","14038","","","","0"
"2017","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","13803","","","","0"
"2018","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","13555","","","","0"
"2019","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared by charge","Number","223","units","0","v68755436","1.149.5","14718","","","","0"
"1998","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","567","","","","0"
"1999","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","540","","","","0"
"2000","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","668","","","","0"
"2001","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","872","","","","0"
"2002","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","832","","","","0"
"2003","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","810","","","","0"
"2004","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","843","","","","0"
"2005","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","829","","","","0"
"2006","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","650","","","","0"
"2007","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","573","","","","0"
"2008","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","617","","","","0"
"2009","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","570","","","","0"
"2010","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","601","","","","0"
"2011","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","563","","","","0"
"2012","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","470","","","","0"
"2013","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","503","","","","0"
"2014","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","466","","","","0"
"2015","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","498","","","","0"
"2016","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","413","","","","0"
"2017","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","376","","","","0"
"2018","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","397","","","","0"
"2019","Ontario [35]","2016A000235","Total impaired driving [910]","Cleared otherwise","Number","223","units","0","v68755437","1.149.6","207","","","","0"
"1998","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","20575","","","","0"
"1999","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","21609","","","","0"
"2000","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","22074","","","","0"
"2001","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","19993","","","","0"
"2002","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","19471","","","","0"
"2003","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","17551","","","","0"
"2004","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","17040","","","","0"
"2005","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","16732","","","","0"
"2006","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","16469","","","","0"
"2007","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","16599","","","","0"
"2008","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","17543","","","","0"
"2009","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","17126","","","","0"
"2010","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","16223","","","","0"
"2011","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","16096","","","","0"
"2012","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","16066","","","","0"
"2013","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","14622","","","","0"
"2014","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","14171","","","","0"
"2015","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","14242","","","","0"
"2016","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","13931","","","","0"
"2017","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","13724","","","","0"
"2018","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","13498","","","","0"
"2019","Ontario [35]","2016A000235","Total impaired driving [910]","Total, persons charged","Number","223","units","0","v68755438","1.149.7","14696","","","","0"
"1998","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","215.48","","","","2"
"1999","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","223.01","","","","2"
"2000","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","223.85","","","","2"
"2001","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","198.68","","","","2"
"2002","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","189.58","","","","2"
"2003","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","168.02","","","","2"
"2004","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","160.54","","","","2"
"2005","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","155.38","","","","2"
"2006","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","150.93","","","","2"
"2007","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","150.50","","","","2"
"2008","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","157.27","","","","2"
"2009","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","151.93","","","","2"
"2010","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","142.22","","","","2"
"2011","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","139.63","","","","2"
"2012","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","137.92","","","","2"
"2013","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","124.35","","","","2"
"2014","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","119.50","","","","2"
"2015","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","119.28","","","","2"
"2016","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","115.18","","","","2"
"2017","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","111.70","","","","2"
"2018","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","107.81","","","","2"
"2019","Ontario [35]","2016A000235","Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v68755439","1.149.8","115.20","","","","2"
"1998","Ontario [35]","2016A000235","Total impaired driving [910]","Total, adult charged","Number","223","units","0","v68755440","1.149.9","20575","","","","0"
"1999","Ontario [35]","2016A000235","Total impaired driving [910]","Total, adult charged","Number","223","units","0","v68755440","1.149.9","21609","","","","0"
"2000","Ontario [35]","2016A000235","Total impaired driving [910]","Total, adult charged","Number","223","units","0","v68755440","1.149.9","22074","","","","0"
"2001","Ontario [35]","2016A000235","Total impaired driving [910]","Total, adult charged","Number","223","units","0","v68755440","1.149.9","19993","","","","0"
"2002","Ontario [35]","2016A000235","Total impaired driving [910]","Total, adult charged","Number","223","units","0","v68755440","1.149.9","19471","","","","0"
"2003","Ontario [35]","2016A000235","Total impaired driving [910]","Total, adult charged","Number","223","units","0","v68755440","1.149.9","17551","","","","0"
