REF_DATE,GEO,DGUID,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1974,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1777695,,,,0
1975,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1771061,,,,0
1976,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1759317,,,,0
1977,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1760806,,,,0
1978,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1767385,,,,0
1979,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1780722,,,,0
1980,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1791767,,,,0
1981,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1803407,,,,0
1982,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1821014,,,,0
1983,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1838915,,,,0
1984,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1848934,,,,0
1985,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1847822,,,,0
1986,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1841112,,,,0
1987,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1856948,,,,0
1988,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1868395,,,,0
1989,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1894973,,,,0
1990,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1931287,,,,0
1991,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1958442,,,,0
1992,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1993416,,,,0
1993,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,2013667,,,,0
1994,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,2010454,,,,0
1995,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1984881,,,,0
1996,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1960594,,,,0
1997,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1916724,,,,0
1998,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1872025,,,,0
1999,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1828176,,,,0
2000,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1790699,,,,0
2001,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1754354,,,,0
2002,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1723292,,,,0
2003,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1705276,,,,0
2004,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1705030,,,,0
2005,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1708245,,,,0
2006,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1727509,,,,0
2007,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1753475,,,,0
2008,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1793552,,,,0
2009,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1831631,,,,0
2010,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1871905,,,,0
2011,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1899812,,,,0
2012,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1917338,,,,0
2013,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1924654,,,,0
2014,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1927705,,,,0
2015,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1928878,,,,0
2016,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1942791,,,,0
2017,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1941873,,,,0
2018,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1940561,,,,0
2019,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1932463,,,,0
2020,Canada,2016A000011124,Both sexes,0 to 4 years,Persons,249,units,0,v466884,1.1.7,1921944,,,,0
1971,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,2267794,,,,0
1972,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,2187938,,,,0
1973,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,2082997,,,,0
1974,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1991842,,,,0
1975,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1933732,,,,0
1976,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1909617,,,,0
1977,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1879428,,,,0
1978,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1856999,,,,0
1979,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1829208,,,,0
1980,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1812578,,,,0
1981,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1794717,,,,0
1982,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1793041,,,,0
1983,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1793547,,,,0
1984,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1806123,,,,0
1985,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1815949,,,,0
1986,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1829447,,,,0
1987,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1848603,,,,0
1988,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1875015,,,,0
1989,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1903668,,,,0
1990,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1923491,,,,0
1991,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1934715,,,,0
1992,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1948334,,,,0
1993,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1954420,,,,0
1994,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1968145,,,,0
1995,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1991977,,,,0
1996,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,2015880,,,,0
1997,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,2040433,,,,0
1998,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,2059856,,,,0
1999,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,2056299,,,,0
2000,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,2036949,,,,0
2001,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,2017049,,,,0
2002,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1988754,,,,0
2003,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1947657,,,,0
2004,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1905050,,,,0
2005,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1864782,,,,0
2006,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1824535,,,,0
2007,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1801934,,,,0
2008,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1790489,,,,0
2009,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1791787,,,,0
2010,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1791169,,,,0
2011,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1810914,,,,0
2012,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1847505,,,,0
2013,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1892730,,,,0
2014,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1931039,,,,0
2015,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,1969492,,,,0
2016,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,2003223,,,,0
2017,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,2021564,,,,0
2018,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,2033313,,,,0
2019,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,2041032,,,,0
2020,Canada,2016A000011124,Both sexes,5 to 9 years,Persons,249,units,0,v466698,1.1.13,2044603,,,,0
1971,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2329323,,,,0
1972,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2349140,,,,0
1973,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2368189,,,,0
1974,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2373809,,,,0
1975,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2355067,,,,0
1976,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2291715,,,,0
1977,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2225816,,,,0
1978,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2129776,,,,0
1979,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2035541,,,,0
1980,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1968636,,,,0
1981,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1934564,,,,0
1982,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1911472,,,,0
1983,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1890627,,,,0
1984,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1863492,,,,0
1985,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1840806,,,,0
1986,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1815036,,,,0
1987,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1819719,,,,0
1988,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1831393,,,,0
1989,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1856124,,,,0
1990,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1874934,,,,0
1991,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1902403,,,,0
1992,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1930673,,,,0
1993,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1957969,,,,0
1994,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1982380,,,,0
1995,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1997650,,,,0
1996,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2009325,,,,0
1997,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2020613,,,,0
1998,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2026586,,,,0
1999,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2034559,,,,0
2000,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2055843,,,,0
2001,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2079739,,,,0
2002,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2114746,,,,0
2003,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2139150,,,,0
2004,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2141832,,,,0
2005,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2124530,,,,0
2006,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2096117,,,,0
2007,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2065911,,,,0
2008,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2032298,,,,0
2009,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1996736,,,,0
2010,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1959099,,,,0
2011,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1918095,,,,0
2012,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1895451,,,,0
2013,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1886668,,,,0
2014,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1893264,,,,0
2015,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1895463,,,,0
2016,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1919810,,,,0
2017,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1948681,,,,0
2018,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,1992389,,,,0
2019,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2032988,,,,0
2020,Canada,2016A000011124,Both sexes,10 to 14 years,Persons,249,units,0,v466716,1.1.19,2072100,,,,0
1971,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2164092,,,,0
1972,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2221277,,,,0
1973,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2272006,,,,0
1974,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2314170,,,,0
1975,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2347857,,,,0
1976,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2389251,,,,0
1977,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2407177,,,,0
1978,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2423548,,,,0
1979,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2429491,,,,0
1980,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2420625,,,,0
1981,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2369682,,,,0
1982,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2293352,,,,0
1983,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2191088,,,,0
1984,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2091627,,,,0
1985,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2016019,,,,0
1986,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,1987138,,,,0
1987,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,1958061,,,,0
1988,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,1944994,,,,0
1989,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,1939950,,,,0
1990,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,1938489,,,,0
1991,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,1927520,,,,0
1992,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,1926856,,,,0
1993,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,1932135,,,,0
1994,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,1956819,,,,0
1995,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,1981185,,,,0
1996,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2009898,,,,0
1997,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2028117,,,,0
1998,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2052607,,,,0
1999,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2074904,,,,0
2000,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2095909,,,,0
2001,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2115915,,,,0
2002,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2128264,,,,0
2003,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2129918,,,,0
2004,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2144151,,,,0
2005,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2176159,,,,0
2006,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2211529,,,,0
2007,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2232083,,,,0
2008,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2250947,,,,0
2009,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2255781,,,,0
2010,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2248876,,,,0
2011,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2236197,,,,0
2012,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2197641,,,,0
2013,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2154873,,,,0
2014,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2118889,,,,0
2015,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2092961,,,,0
